name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Grafana Loki,,https://grafana.com/oss/loki,logos/d3d0533ce9dbf78b30b05ddeb8b40266acb722de478b9fea5562abe896a6992a.svg,,,,,,,GNU Affero General Public License v3.0,,"Loki is a horizontally-scalable, highly-available, multi-tenant log aggregation system inspired by Prometheus. It is designed to be very cost effective and easy to operate. It does not index the contents of the logs, but rather a set of labels for each log stream.",,,,,,,,,,,,Databases and Data Stores,Monitoring and Logging,true,https://github.com/grafana/loki,22601,"Like Prometheus, but for logs.",2024-06-18,https://github.com/grafana/loki/commit/ce8645900e76db962af36794c70d1e3662009ded,2024-04-08,https://github.com/grafana/loki/releases/tag/v3.0.0,2018-04-15,https://github.com/grafana/loki/commit/511006e57b5250c9918f1250b10641485fd91c1a,1021,https://github.com/grafana/loki/graphs/contributors,,,,,,,,,,,,
Helm,,https://helm.sh/,logos/ff445c0966fc32219a425b8e5173deea4810d0458ef93895e315a6623b2ef1b8.svg,,,,,,,Apache License 2.0,,"Helm is like a package manager for Kubernetes.  It simplifies deploying and managing complex applications as packaged units called Helm Charts.   Think of it as  apt/yum for Kubernetes applications.  Helm lets you find, install, upgrade, and share these pre-configured packages.               ",,,,,,,,,,,,Cloud Computing,Containerization and Orchestration,true,https://github.com/helm/helm,26242,The Kubernetes Package Manager,2024-06-17,https://github.com/helm/helm/commit/a2a324e51165388448be8caaf8737b7fd2f1a19a,2024-06-12,https://github.com/helm/helm/releases/tag/v3.15.2,2015-11-02,https://github.com/helm/helm/commit/94db53d0803034083a3a9b1c7a9a197c327eb6b0,806,https://github.com/helm/helm/graphs/contributors,,,,,,,,,,,,
Istio,,https://istio.io,logos/d055f05a369b9fba754fdc851b99aa227ce11e63fdc8bdcddcc64921de16b470.svg,,,,,,,Apache License 2.0,,"Simplify observability, traffic management, security, and policy with the Istio service mesh.",,,,,,,,,,,,Security,Service Mesh,true,https://github.com/istio/istio,35281,"Connect, secure, control, and observe services.",2024-06-18,https://github.com/istio/istio/commit/6e233d65f53efb9a8e2c5776a60aca17bbdf060d,2024-06-05,https://github.com/istio/istio/releases/tag/1.22.1,2016-11-18,https://github.com/istio/istio/commit/0216e811e9da88b867742710f7d166cef2eabfbc,1198,https://github.com/istio/istio/graphs/contributors,,,,,,,,,,,,
Jenkins,,https://jenkins.io/,logos/345eb026a54643f2ae6a08d6c39cc16bdacaef9fe02f6f31f767ade77a25245f.svg,,,,,,,MIT License,,"Jenkins is an open-source automation server focused on the software development lifecycle. Jenkins takes your code, runs tests, builds it into a usable application, and can even deploy it automatically.  This frees developers from repetitive tasks and helps ensure consistent and reliable software delivery.",,,,,,,,,,,,Software Development,Continuous Integration and Continuous Deployment (CI/CD),true,https://github.com/jenkinsci/jenkins,22604,Jenkins automation server,2024-06-18,https://github.com/jenkinsci/jenkins/commit/c674d94e29784ea35973fd11e3ed8f8aa0888356,2024-06-18,https://github.com/jenkinsci/jenkins/releases/tag/jenkins-2.463,2006-11-05,https://github.com/jenkinsci/jenkins/commit/8a0dc230f44e84e5a7f7920cf9a31f09a54999ac,1115,https://github.com/jenkinsci/jenkins/graphs/contributors,,,,,,,,,,,,
JFrog Artifactory,,https://jfrog.com/artifactory/,logos/fd2e3fd71570b5a474c235a2611faabc7220d057c41d5150c4528dd88725ccba.svg,,,,,,,,,"JFrog Artifactory is a universal repository manager designed to manage and store binary artifacts generated throughout the software development lifecycle. It supports a wide range of package formats, including Maven, Gradle, Docker, and npm, facilitating seamless integration with CI/CD pipelines. ",,,,,,,,,,,,Software Development,Artifact Repositories,,,,,,,,,,,,,,,,,,,,,,,,
Kerberos,,https://web.mit.edu/kerberos/,logos/27441704276a404b445dc653bd68133e430880640ff5c679420441e62ca2ca9f.svg,,,,,,,,,Kerberos is a network authentication protocol that provides secure authentication for client-server applications by using secret-key cryptography.,,,,,,,,,,,,Security,Identity and Access Management (IAM),,https://github.com/krb5/krb5,499,mirror of MIT krb5 repository,2024-06-04,https://github.com/krb5/krb5/commit/13e97260e012c34b454fba66a8525b32fe21e438,,,1987-10-23,https://github.com/krb5/krb5/commit/53f57434bf0a5e7dbcf54fd42afa630b46136902,161,https://github.com/krb5/krb5/graphs/contributors,,,,,,,,,,,,
kind,,https://github.com/kubernetes-sigs/kind,logos/5e85014dbb9c0eb809d73798a713b39b0206cef9d37b6713d25a643cf4000489.svg,,,,,,,Apache License 2.0,,kind creates local multi-node Kubernetes clusters using Docker container nodes.,,,,,,,,,,,,Cloud Computing,Containerization and Orchestration,true,https://github.com/kubernetes-sigs/kind,12953,Kubernetes IN Docker - local clusters for testing Kubernetes,2024-06-17,https://github.com/kubernetes-sigs/kind/commit/2bed82a84d45e19139dea88d80266780b7c91e0c,2024-05-14,https://github.com/kubernetes-sigs/kind/releases/tag/v0.23.0,2018-09-12,https://github.com/kubernetes-sigs/kind/commit/eac59de61eabf86b5b475ddb8ce4a58b0cecb9bd,325,https://github.com/kubernetes-sigs/kind/graphs/contributors,,,,,,,,,,,,
Kubernetes,,https://kubernetes.io/docs/reference/kubectl/,logos/e0303fdc381c96c1b4461ad1a2437c8f050cfb856fcb8710c9104367ca60f316.svg,,,,,,,Apache License 2.0,,"Kubectl is a command-line tool for interacting with Kubernetes clusters. It allows you to manage deployments, inspect resources, view logs, and more.  It's essentially the remote control for your Kubernetes environment.",,,,,,,,,,,,Cloud Computing,Containerization and Orchestration,true,https://github.com/kubernetes/kubectl,2737,Issue tracker and mirror of kubectl code,2024-06-16,https://github.com/kubernetes/kubectl/commit/e799af93792b7263553ad35976b5162a55eb169a,,,2017-03-30,https://github.com/kubernetes/kubectl/commit/82a589b19aa9c9018500584ecb32c8511b98b758,469,https://github.com/kubernetes/kubectl/graphs/contributors,,,,,,,,,,,,
Microsoft Azure,,https://azure.microsoft.com/,logos/421cba686dd16734a2702747e30a26a22c83b9ab8206170d256b511a97ffc693.svg,,,,,,,,,"Microsoft Azure is a comprehensive cloud computing platform and infrastructure offered by Microsoft.  It provides a wide range of services including computing power (virtual machines), storage solutions (Azure Blob Storage, Azure Files), databases (Azure SQL Database, Cosmos DB), networking services (Azure Virtual Network, Load Balancer), and developer tools (Azure DevOps, Azure Functions). ",,,,,,,,,,,,Cloud Computing,Cloud Providers,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft SQL Server,,https://www.microsoft.com/en-gb/sql-server/sql-server-downloads,logos/e3e56deb6bbe9dba9112796a88878b591ef35c5130f4370eb9af66c843c8c4eb.svg,,,,,,,,,"Microsoft SQL Server is a relational database management system designed for scalable, high-performance data storage, processing, and security.",,,,,,,,,,,,Databases and Data Stores,Relational Database Management Systems (RDBMS),,,,,,,,,,,,,,,,,,,,,,,,
minikube,,https://minikube.sigs.k8s.io,logos/08197429358a0aa89567795a9b6e8fe346de5b02cd926a7432896ef840433458.svg,,,,,,,Apache License 2.0,,"minikube runs a local Kubernetes cluster on macOS, Linux, and Windows.",,,,,,,,,,,,Cloud Computing,Containerization and Orchestration,true,https://github.com/kubernetes/minikube,28658,Run Kubernetes locally,2024-06-18,https://github.com/kubernetes/minikube/commit/f4fc4c19870d7c14912800d646c707a89faab12b,2024-05-13,https://github.com/kubernetes/minikube/releases/tag/v1.33.1,2016-04-15,https://github.com/kubernetes/minikube/commit/320cff6595a3566bbfec22bd289df5caafa94321,966,https://github.com/kubernetes/minikube/graphs/contributors,,,,,,,,,,,,
